	T-cell	Cancer-1	Cancer-2	Myeloid-1	Cancer-3	Cancer-4	Oligo	Cancer-5	Myeloid-2	Myeloid-3	Myeloid-4	Cancer-6	Giant Cell Cancer	Cycling	Vasculature-2	Other Immune-1	Vasculature-2	Other Immune-2
EGFR	-0.000874923	0.002745048	0.000574162	-0.000511976	0.001853091	-0.000682323	-0.000726466	0.001341717	-0.000639738	-0.000813828	-0.000642378	-0.001131699	-0.000418939	0.00047594	-0.000292766	-0.000942682	-0.000422401	-0.000689138
CHI3L1	-0.000557983	0.000163742	-0.000986256	-0.000404909	0.002230017	0.001443622	-0.00061466	0.002908121	-0.000219908	-0.000627164	-0.000139128	-0.000636534	-0.000836769	-0.000663993	-0.00049138	-0.000723863	-0.000437241	-0.00053226
PLP1	-0.000344526	-0.00015777	0.000439869	-0.000224539	-0.000974999	-0.000580306	0.003505027	0.000341452	-0.000317926	-0.000336496	-0.000263111	-0.000736726	-3.32E-05	-0.000254394	-0.000295824	-0.000445995	-0.000176389	-0.000318601
SPP1	-0.000940364	-0.000117356	-0.001158284	0.001670627	8.85E-05	0.001772148	0.001271735	0.000302504	-0.00036517	0.000798305	-0.000718381	-0.001011828	-0.000782653	8.63E-06	-0.000785286	-0.000941781	-0.000531381	-0.000842629
VIM	-9.84E-05	0.000762074	-0.00203433	-0.001445563	0.001899078	0.000814034	-0.001391594	0.001244148	0.001101504	0.000726698	-8.49E-05	-0.001877055	0.000639177	0.000598534	0.00067687	-0.00019737	0.00047897	0.000958284
SRGN	0.001045649	-0.00113067	-0.001031973	0.000742562	-0.001570963	-0.000674999	-0.000796756	-0.000886886	0.000828474	0.002525199	0.001499884	-0.000941288	-0.000530107	-0.000607116	-0.000402474	0.000629709	0.000594089	0.00138167
HLA.DRA	-0.000444775	-0.000685232	-0.000788836	0.001752583	-0.001417392	-0.000300755	-0.00058294	0.000677694	0.002022157	0.001691981	-0.000669329	-0.000728674	-0.00054432	-1.42E-05	-0.000527117	0.000279833	-0.000326029	-0.000551967
PTPRZ1	-0.000962763	0.002375691	0.001945668	-0.000597354	0.000530219	0.001090169	-0.000839237	0.000942672	-0.000680503	-0.000977053	-0.000658827	-0.001220945	-0.001068819	0.000117461	-0.000786482	-0.000800655	-0.000625382	-0.000753486
CD74	3.30E-05	-0.000668139	-0.000928014	0.001799614	-0.001513314	-0.000305136	-0.000624271	9.77E-05	0.001773824	0.001532118	-0.000652826	-0.000692396	-0.000593387	-8.30E-05	-0.000559686	0.000951729	-0.000171034	-0.000525977
CLU	-0.000930119	0.001408362	-0.000752945	-0.000612942	0.000668697	0.002105014	0.000113776	0.002406709	-0.000644657	-0.000500746	-0.000692969	-0.000391234	-0.000746066	-0.000556524	-0.00028303	-0.000952268	-0.000365509	0.000714412
IL1B	-0.000749713	-0.000610766	-0.00055628	0.000207191	-0.00102007	-0.000168556	-0.000459495	-0.000508677	-0.000288908	0.007402413	-0.000199265	-0.000489124	-0.000502679	-0.000128725	-0.000529713	-0.000534756	-0.000449579	-0.000780399
CCL3	-0.000563934	-0.000635275	-0.000505174	0.001899341	-0.000916145	-0.000370695	-0.000423419	-0.000539206	-0.000584324	0.004832159	-0.000572724	-0.000518897	-0.000306619	-0.000148725	-0.000414155	-0.000179194	-0.000346038	-0.000648494
COL1A2	-0.000455423	-0.000355023	-0.000552558	-0.000315762	-0.001140246	0.002071871	-0.000317265	-0.000221804	-0.000251038	-0.000249751	-0.000345496	-0.000314396	0.004615704	5.02E-05	0.001522234	-0.00040862	-0.000144349	-0.000349884
CCL4	4.27E-05	-0.00068828	-0.000569593	0.001647327	-0.001063726	-0.000335386	-0.000455847	-0.000578982	-0.000839336	0.004605054	-0.000534673	-0.00056378	-0.000503793	-0.000158503	-0.00044877	-0.000302037	-0.000366852	-0.000376899
SPARCL1	-0.00088356	0.001379367	-0.000250117	-0.000526438	0.000788486	0.001602837	-0.000769428	0.002086917	-0.000616716	-0.000752334	-0.000636556	-0.00119921	-0.000687435	-0.000396821	0.001780305	-0.000853728	0.001306496	-0.000730728
C3	-0.000673643	-0.001028775	-0.000727935	0.002981292	-0.000774023	0.000125635	-0.000515146	0.002251738	-0.00037539	0.001033033	-0.000553618	-0.00063374	-0.00045174	-7.59E-05	-0.000439027	-0.000611222	-0.00040944	-0.000625553
RGS1	0.000829702	-0.000855043	-0.000824909	0.001617204	-0.001046851	-0.000575675	-0.000594072	-0.000698245	-4.32E-05	0.002605317	-0.000772715	-0.000768769	-0.000395406	-0.000106832	-0.00056853	0.001280046	-0.000440137	0.001825465
IL7R	0.002170763	-0.00049709	-0.000432095	-0.000422135	-0.000685287	-0.000345962	-0.000341553	-0.000400491	0.00026257	-0.000314117	-0.000369116	-0.00032311	-0.000232076	-0.0008978	-0.000307922	-0.000209285	-0.000277163	-0.000449167
LTF	-0.000330589	-0.000882054	-0.000416994	-0.000230747	-0.000250885	-0.000310478	-0.000295177	0.005245225	-0.000237298	-0.000192415	4.62E-05	-0.000450839	-0.000322841	0.000261257	-0.000314974	-0.000361109	-0.00015404	-1.14E-05
APOE	-0.000831005	0.000848233	-0.000748233	0.002390463	-0.000940619	-0.000135005	-0.000580326	0.001221101	0.000535812	0.000105207	-0.000725572	-0.000914171	-0.000348572	-0.000653329	0.000750376	-0.000743823	-0.000327385	-0.000756311
CXCL8	-0.000774561	-0.000859869	-0.000649584	-0.000212899	-0.000542228	3.26E-05	-0.000490765	-0.000318287	-0.00026162	0.006159518	0.001283639	-0.000564491	2.58E-05	-0.000292885	-0.000187483	-0.000523631	-0.000176779	-0.000394252
HLA.DRB1	-0.000206559	-0.000694368	-0.000792953	0.001723217	-0.001309777	-0.000468091	-0.000553546	0.00014238	0.002154366	0.001563022	-0.00066061	-0.000633628	-0.000489369	5.81E-07	-0.0005256	5.47E-05	-6.50E-05	-0.000459659
S100A8	-0.000359807	-0.000364208	-0.000349576	-0.000252864	-0.000465197	-0.000224088	-0.000244507	-0.000227807	0.001497368	-0.000794226	0.004463403	-0.000317128	-0.000211948	-9.06E-05	-0.000183958	-0.00032406	-0.000145735	-0.000194929
BCAN	-0.000689627	0.002402248	0.002857476	-0.000450409	-0.001354585	-0.000953161	-0.000540696	0.001143552	-0.00048083	-0.000496274	-0.000490616	-0.001260559	-0.000484726	0.000136067	-0.000473394	-0.000626894	-0.000380782	-0.000517672
S100A9	-0.00039656	-0.000440353	-0.000377062	-0.00023495	-0.000574066	-0.000268492	-0.000255932	-0.000233739	0.002114655	-0.000517307	0.003831805	-0.000355591	-0.000206979	-0.000129597	-0.00021819	-0.000330028	-0.000143188	-0.000393849
COL3A1	-0.000286564	-0.000377398	-0.000328015	-0.000215391	-0.00060477	-5.16E-05	-0.000221651	-0.000422078	-0.000174327	-0.000208129	-0.000220124	-0.000284861	0.005778182	-0.000160448	0.002094472	-0.000260068	-1.97E-05	-0.000250419
GFAP	-0.000645612	0.001418711	0.00019001	-0.000260813	-0.000312018	-6.45E-05	-0.000361427	0.003750819	-0.000371218	-0.000606801	-0.00047094	-0.000699617	-0.000656642	-0.000618837	-0.000480172	-0.000603847	-0.000360221	-0.000496981
