	T-cell	Cancer-1	Cancer-2	Myeloid-1	Cancer-3	Cancer-4	Oligo	Cancer-5	Myeloid-2	Myeloid-3	Myeloid-4	Cancer-6	Giant Cell Cancer	Cycling	Vasculature-2	Other Immune-1	Vasculature-2.1	Other Immune-2
EGFR	0.0	0.0035988775674459443	0.0014182894925316477	0.0	0.0030264953708598226	0.0	0.0	0.0019884164984277507	0.0	0.0	0.0	0.0	0.00014412821788070514	0.000587610495029498	0.00022739814059986418	0.0	2.1508116144047597e-05	0.0
CHI3L1	7.589856157284904e-05	0.0007806569570862887	0.0	1.7890195296865475e-05	0.0031609423704596932	0.0018756101050779062	0.0	0.0034646503724849067	0.00022328717148028618	0.0	0.0003287389383120944	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLP1	0.00012478265040976848	0.0002551680866412314	0.0009341030271686915	9.329340650333923e-05	0.0	0.0	0.0038804880621226873	0.0006600665939013764	1.4592806742908046e-05	1.7792276823146943e-05	8.084857965589305e-05	0.0	0.00023983548613599188	0.0	7.02724048341745e-06	0.0	8.210465499425321e-05	5.005529762099121e-05
SPP1	0.0	0.0008268338812477216	0.0	0.002281299603156911	0.001442142115876042	0.0024146696852518717	0.001991109393854208	0.0010716949932370707	0.0002696376419124137	0.0015831540263423539	0.0	0.0	0.0	0.0002235345742613707	0.0	0.0	0.0	0.0
VIM	0.0015922576113599504	0.0024969120515275674	0.0	0.0	0.004439942442585744	0.002024780775268592	0.0	0.0026736250997229033	0.0022513781463048264	0.0018348226482849022	0.0011433355404184104	0.0	0.0018369962110035534	0.001128342028532848	0.001790926007049519	0.0013207078882282552	0.0014333155747091601	0.002294749351535169
SRGN	0.002056709921704996	0.0	3.164869882115633e-05	0.0014066557278610192	0.0	0.0	0.0	0.0	0.0015168914358263939	0.00346148449610046	0.0022231146038951934	0.0	0.00015433259598476905	0.0	0.0002600144372291758	0.0015541640860693095	0.0011576651787424828	0.0021707484142353193
HLA-DRA	0.0002850046624523634	5.8300993871406114e-05	1.998152269816783e-05	0.002271536959811206	0.0	0.00019671205285241538	8.84040092821431e-06	0.0012793150737598895	0.0025260419617850476	0.0023395207419808326	0.0	0.0	0.0	0.00026419649662880575	0.0	0.0009712159365105563	8.690954301288211e-05	2.6507249874394246e-05
PTPRZ1	0.0	0.003393895770969734	0.0029455305519095996	0.0	0.0018930838066271317	0.001721233289463911	0.0	0.0017338325063960668	0.0	0.0	9.750260481089067e-06	0.0	0.0	0.00022690943202787262	0.0	4.4615200737405145e-05	0.0	0.0
CD74	0.0008291529486563717	0.0001322819331089581	0.0	0.002352078524185719	0.0	0.00023569246217056673	1.4875594498617182e-05	0.0007493200334163296	0.0023245970899299817	0.0022490632905842137	0.0	4.741342727437841e-05	0.0	0.00019629659784167514	0.0	0.001706216328845375	0.0002773039021742673	0.00010427022153955004
CLU	2.3387817383624755e-05	0.0024154888993417763	0.0002895167019032655	2.6241194636828537e-05	0.002115564744270262	0.002778098935874163	0.0008805837251268431	0.003232350717043697	1.3410269256290934e-05	0.0004228583488379782	3.5857821394539493e-06	0.0004869955872449175	0.0	0.0	0.00034205423458374235	0.0	0.00017747638522667275	0.0014787326079916056
IL1B	0.0	0.0	0.0	0.0005898236729728345	0.0	3.448752378095828e-05	0.0	0.0	2.5277571110123415e-05	0.007446711968130903	0.0001136693366593425	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCL3	0.0	0.0	0.0	0.00226565971253382	0.0	0.0	0.0	0.0	0.0	0.004864670852603556	0.0	0.0	0.0	0.0	0.0	0.00020871620332545308	0.0	0.0
COL1A2	0.0	3.1064001152364045e-05	0.0	9.662199278449992e-06	0.0	0.0023442702483764026	3.3749796813614274e-05	9.89973008383284e-05	5.058530852058941e-05	0.00010574193041795635	0.0	6.876499372012232e-05	0.004893710698799238	0.00021924523342803658	0.0018215061506591578	0.0	0.00010303388616785093	0.0
CCL4	0.0005628645931756256	0.0	0.0	0.0020231125285761395	0.0	0.0	0.0	0.0	0.0	0.004590793647918342	0.0	0.0	0.0	0.0	0.0	0.00020806593594037743	0.0	0.0
SPARCL1	0.0	0.0022816922622840166	0.000649251495285911	4.4519434881932384e-05	0.0020732954478275296	0.0022084309391734594	0.0	0.002811882378323402	0.0	2.48326256520114e-05	0.0	0.0	0.0	0.0	0.0023342160373028436	0.0	0.001788329957841998	0.0
C3	0.0	0.0	0.0	0.003405375176793416	0.0	0.000528607976534672	0.0	0.0026909499309261285	5.075069271103037e-05	0.00148880569311815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RGS1	0.0015233628406065337	0.0	0.0	0.0021243338344415622	0.0	0.0	0.0	0.0	0.00043777869204275556	0.003148784698276159	0.0	0.0	8.49824102027862e-05	5.9886267431404017e-05	0.0	0.0019359201496585178	0.0	0.0023634636327161816
IL7R	0.002642763432543759	0.0	1.2402617989396159e-05	0.0	0.0	0.0	2.3961440029801885e-05	0.0	0.0005533038023577506	0.0	0.0	0.0	3.467134904596958e-05	0.0	0.0	0.0	0.0	0.0
LTF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053288733562730515	0.0	0.0	0.00025211205610457013	0.0	0.0	0.0	0.0	0.0	0.0	0.0001792217577947422
APOE	0.0	0.0016595537589390197	9.162417226976595e-05	0.002928238069996866	0.00025324158805999005	0.0004268047382688268	5.223709330645902e-05	0.001906820108453629	0.0010750758543170427	0.000805615270378882	0.0	0.0	0.00018757300109638992	0.0	0.0012784987313129526	0.0	0.00011688383873361484	0.0
CXCL8	0.0	0.0	0.0	0.0001751454178440951	0.00013171884124749662	0.00038978224054088043	0.0	7.254182365773483e-05	0.00010498566706334148	0.006468493519481708	0.0016574236741255333	0.0	0.0003999424040318445	0.0	0.00015767550831690362	0.0	0.00010754592506228254	0.0
HLA-DRB1	0.00046794693017313915	0.0	0.0	0.002204471007672311	0.0	0.0	0.0	0.0006875001246700102	0.00261751175743872	0.002134823373183386	0.0	0.0	0.0	0.00024098158885517594	0.0	0.0006919619801724188	0.0003092890764131696	6.80423004986687e-05
S100A8	0.0	4.3515993063772687e-07	2.212203016207256e-05	0.0	4.363189500894547e-05	7.638918678557523e-07	2.7413188274336666e-05	6.027651259316037e-05	0.0016027011403690532	0.0	0.004697311781295665	1.0717024255566872e-05	2.5108199807347385e-05	4.90431015609787e-05	3.2710524643869266e-05	0.0	3.629495446533613e-05	5.009684849299971e-05
BCAN	0.0	0.0029670003658883127	0.003521776778927983	0.0	0.0	0.0	0.0	0.0015214179486917512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S100A9	0.0	0.0	4.6845925943843683e-05	0.0	1.123773798823345e-05	4.289569317589322e-06	5.693959499174651e-05	9.723148782570427e-05	0.0023641470768358923	0.0	0.00411234709574936	1.3319601239891796e-05	6.897964011408376e-05	2.9747646281560594e-05	4.038327839542748e-05	2.5286318675497664e-05	7.377253078188979e-05	0.0
COL3A1	0.0	0.0	0.0	0.0	0.0	8.219094916380591e-05	0.0	0.0	1.660153745524086e-05	0.0	0.0	0.0	0.005960858656490763	0.0	0.002275554385696191	0.0	0.000134170892240181	0.0
GFAP	1.9755863678963328e-06	0.0020920706175306877	0.0008911460259280634	0.00016203257881694326	0.0006562157852973512	0.00037996856631114094	0.0001633771464624877	0.004317875513707675	7.684680007572e-05	1.1457148294951935e-05	5.869388778858732e-06	0.0	0.0	0.0	0.0	3.906875323207719e-06	0.0	1.8353279154870513e-05
HLA-DPA1	0.0004891058144440948	0.00017778635863308553	0.0	0.0022842993163376623	0.0	0.00012893269275077737	0.0	0.0002521272380026667	0.0023500262662834604	0.002095147752396517	0.0	0.0	0.0	7.330056318070412e-05	0.0	0.000820851991024523	0.0001577853470854323	6.285950494183233e-05
TNFAIP3	0.0022528102780878362	0.0	0.0	0.00017353580083353588	0.0	0.00034237486767910055	0.0	0.0001340585902375193	0.0002318898536701572	0.00550871844586304	0.0007616514467973654	0.0	0.0003367524165537846	0.0	0.0005149385443662492	0.000945089483169349	0.00027796133795893115	0.002093426252478471
LYZ	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040754470546268745	0.0010144478895720542	0.0019664380235705015	0.0	0.0	0.0	0.0	0.0	0.0	7.731941054195881e-05
CCL4L2	5.3202176317744486e-05	0.0	0.0	0.0020498959055374674	0.0	0.0	0.0	0.0	0.0	0.004696378139800319	0.0	0.0	0.0	0.0	0.0	8.616697140283858e-05	0.0	5.507364061260674e-05
FCGBP	0.0	0.0	0.0	0.002613997762850103	0.00016014278342953807	0.0004576462362420089	0.0	3.0386122208166885e-05	0.0006113439930230219	0.0009606775476701661	0.0	0.0	1.4618275651346544e-06	0.00047526332338068016	0.0	0.0	0.0	0.0
SEC61G	9.298089950478284e-05	0.002648133113839259	0.00016941093571590032	7.736591720058443e-05	0.0044592119701535055	0.0	0.00010748940789045552	0.0022231736568825424	0.00018649274094778266	0.0001487948267025714	0.0	0.0	0.0007298435352665021	0.0008885318583201321	0.0	0.0006344691077250123	9.870397446237079e-05	0.00019707523966236459
CCL3L1	0.0	0.0	0.0	0.001964552929414389	0.0	0.0	0.0	0.0	0.0	0.004981973271381413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FOS	0.001595880499926382	0.0020820481305561817	0.0026712880792360643	0.0015861732892960081	0.0026065408940588084	0.001363552290418655	0.0021343391437085514	0.00268894378121532	0.0004687325096923598	0.004308560070629997	0.0017089998707534974	0.0013622948244100643	0.0016095953279632981	0.00029310365392441734	0.002084451956358946	0.0026600195461729636	0.001544128540432303	0.0016631141023435516
COL1A1	0.0	0.0	0.0	0.0	0.0	0.0004914787188286994	2.571007171712148e-05	0.0	0.0	0.0	0.0	0.0	0.006305790877815894	0.0	0.0010768009946179203	0.0	0.0	0.0
TF	0.0	0.0	0.00016616054951791616	5.528057690228502e-06	0.0002479612227343085	0.0	0.00403153401142523	0.0003705376709840246	0.0	0.0	8.212705186893506e-06	0.0	0.00015336591620219395	0.0	0.0	0.0	4.9295696658537454e-06	1.4993838283164504e-05
HLA-DPB1	0.0006949090141729417	7.497880047187922e-05	0.0	0.002072993789249146	0.0	6.694719080700977e-06	0.0	0.0002675288128574352	0.002439539245941246	0.0020372330780750194	0.0	1.9977436335000902e-05	0.0	5.662567907132283e-05	4.149434800213488e-05	0.0007047550609008849	5.48961095090367e-05	8.449553890881574e-06
MAP1B	0.0	0.0016724859883933104	0.0017181536558890282	0.0	0.002629416604327211	0.0025256520761862598	0.0016911688475107218	0.0023242694221420855	0.0	0.00015457802782109528	0.0	0.002992464017000935	0.00010527150925218152	0.0007865088468093545	0.0018019472737705602	0.0	0.0005456436775055644	0.0
