	NPC-like	AC-like	MES2	MES1	OPC-like
MARC1	0.000497117	-0.000464816	-0.000236861	-0.00022954	-0.000225234
A2M	-0.000316763	0.000835194	0.002425251	0.000819798	-0.000516989
ABCA1	-0.0002492	6.26E-05	0.001258996	0.002508755	-0.000872635
ABCA13	-0.000163336	0.001191628	0.000741169	-0.000144841	-0.000288607
ABCA8	-0.000329137	0.000983455	-0.000596716	0.000544088	-0.000559375
ABCB5	2.91E-05	6.89E-05	5.84E-05	-9.73E-06	-5.54E-05
ABCC3	-0.000430889	0.000641546	-0.000775807	0.001618059	-0.000809853
ABCC9	-0.00014862	0.001120076	0.000188067	-0.000162759	0.000187832
ABI3BP	4.21E-06	0.002218678	-0.00055355	-0.00044976	-0.000407435
AC003092.1	-6.83E-05	-0.000263179	0.002016142	-0.000223357	-7.93E-05
AC004263.1	0.000109873	-6.03E-06	-1.03E-05	-2.17E-05	6.97E-05
AC004540.2	0.00335898	-0.000287107	-0.000714972	0.000217882	0.000388824
AC004852.2	0.001140944	-0.000121882	-3.62E-05	-4.70E-05	-0.000192614
AC004889.1	-7.52E-05	0.000110247	0.000483502	2.87E-05	-0.000114544
AC005344.1	-2.71E-05	0.000401322	-5.85E-05	-4.86E-05	0.000145169
AC005618.2	-1.54E-05	-1.75E-05	1.47E-05	-7.56E-06	4.66E-05
AC005730.3	-1.66E-05	4.29E-05	-3.39E-05	-1.10E-05	-1.18E-06
AC006064.4	-5.18E-05	-0.000257063	0.00143982	-9.43E-05	-0.000218777
AC006064.5	0.00144047	-4.35E-05	-8.82E-05	-2.95E-05	-0.000191245
AC006441.4	-4.04E-05	3.84E-05	-9.76E-05	1.20E-05	-5.65E-05
AC008055.2	7.42E-05	-1.95E-06	-6.63E-06	-9.25E-06	2.80E-05
AC008080.4	-0.000150629	-2.19E-05	1.32E-05	-7.30E-06	0.00055477
AC009041.2	0.001565768	-0.000581239	-0.000579078	-0.00015221	0.003961187
AC009336.1	-1.44E-05	0.000138584	-4.87E-05	0.000199573	-3.10E-05
AC009549.1	-0.000196809	0.000161259	0.000456091	0.001453272	-0.000486377
AC010145.1	0.000481014	-2.01E-05	9.27E-07	-3.95E-06	-2.91E-05
AC010157.2	-2.53E-05	-8.11E-06	-1.95E-05	-4.00E-06	9.88E-05
AC010198.2	-0.000206513	-0.000718978	0.000162986	0.001505454	-0.000340776
AC010266.2	0.000174253	9.97E-05	3.61E-05	1.78E-05	-6.91E-05
AC010478.1	1.39E-05	-3.44E-05	9.80E-05	-2.85E-05	3.34E-05
AC010624.5	0.001828542	-0.000119153	9.91E-05	-4.81E-05	7.83E-05
AC010745.2	0.00119787	-3.80E-05	-0.000118673	-8.17E-07	-0.000111019
AC011228.1	-4.43E-05	-2.59E-05	7.12E-05	-3.81E-05	-6.07E-05
AC011228.2	-0.000492235	-0.000491443	-0.000581948	-0.000426903	-0.000576884
AC011297.1	0.000537254	-3.47E-05	-4.21E-05	-1.74E-06	-0.000132099
AC012085.2	-7.52E-05	1.86E-05	-0.000105569	-5.36E-05	-8.66E-05
AC012181.1	0.000203827	7.91E-05	0.00040342	-6.61E-06	5.20E-05
AC012531.1	-1.03E-05	-1.46E-05	-1.93E-05	-9.78E-06	-1.38E-05
AC015712.2	-0.0001772	-0.000249875	-0.000457804	-0.000248375	-0.000140484
AC018695.4	-4.60E-06	-1.21E-05	-3.23E-06	-5.34E-06	-4.81E-06
AC020916.1	-0.000160987	5.68E-05	0.00050025	0.000953688	-0.000494283
AC022034.1	-0.00010134	-0.000443227	-0.000414643	0.002317125	-0.000385909
AC022075.1	0.003205307	-0.000188137	-0.000325606	1.69E-05	-0.000131006
AC022272.1	-3.47E-05	-1.53E-05	-1.59E-05	-4.14E-06	0.000122615
AC022276.1	9.73E-06	1.19E-05	-4.66E-05	2.84E-05	0.00012959
AC022506.2	5.65E-05	0.000127	0.000136753	-2.67E-05	2.50E-05
AC023794.5	5.84E-05	-2.13E-05	-9.33E-06	-5.56E-06	6.63E-05
AC024224.2	-9.25E-06	-1.79E-05	6.86E-06	-4.53E-06	-1.62E-05
AC024958.1	-2.27E-05	-1.48E-05	-1.35E-06	-5.26E-06	4.02E-05
AC025031.2	-1.33E-05	-1.41E-05	9.69E-05	-2.46E-05	-2.54E-05
AC026402.2	-4.49E-05	3.80E-05	0.00012534	-2.55E-06	-6.53E-06
AC027228.2	0.000274877	-7.04E-05	-2.83E-05	4.90E-05	-0.000122572
AC034159.2	2.12E-05	0.000120993	-3.08E-05	-1.12E-05	-3.08E-05
AC037198.1	-3.44E-05	0.000120021	0.000183924	0.000367171	-8.85E-05
AC064869.1	-3.73E-07	6.02E-05	-1.28E-05	-1.78E-05	-2.07E-05
AC068483.1	-1.02E-05	1.12E-05	-4.64E-05	5.61E-05	-2.55E-05
AC068506.1	-4.77E-05	2.60E-05	0.000563776	-4.64E-05	-0.00010166
AC079340.3	-1.09E-05	-1.48E-05	-1.68E-05	-4.84E-06	6.53E-05
AC079822.1	-1.53E-05	-1.84E-05	-3.14E-06	-7.77E-06	5.36E-05
AC080132.1	-7.30E-07	-2.01E-05	7.62E-06	-1.82E-06	1.40E-05
AC083805.1	8.26E-06	-5.33E-05	-4.53E-05	-2.64E-05	-1.34E-05
AC083906.3	-1.09E-05	-1.49E-05	-1.29E-05	-7.08E-06	2.98E-06
AC090510.4	3.82E-05	-7.05E-06	-1.48E-05	-1.98E-05	4.38E-05
AC092574.2	-9.05E-06	-1.16E-05	1.53E-05	-5.21E-06	-1.09E-05
AC093158.1	-4.33E-06	-1.67E-05	5.23E-05	-1.32E-05	3.43E-05
AC093390.1	7.92E-06	0.000103849	-6.07E-05	1.91E-05	-2.22E-05
AC093765.5	-1.47E-05	-8.38E-06	-2.98E-05	-1.44E-05	4.84E-05
AC097468.1	-1.93E-05	-1.07E-05	-3.09E-05	2.31E-06	5.34E-05
AC097480.2	-8.32E-06	2.85E-05	4.94E-06	1.37E-05	-1.69E-05
AC097652.1	-2.05E-05	-2.02E-05	-1.12E-05	-4.04E-06	7.79E-05
AC100812.1	6.99E-05	0.000652679	-3.31E-05	-6.29E-05	-0.000104907
AC100836.1	-9.67E-06	-1.27E-05	-3.44E-06	-5.25E-06	8.62E-06
AC103770.1	5.51E-05	1.58E-05	0.000254551	2.38E-05	-7.56E-05
AC104051.2	0.000858295	-0.000217477	-0.000211577	-4.88E-05	0.001648309
AC104827.1	-4.25E-06	1.02E-05	-4.15E-05	-1.46E-05	-2.26E-05
AC105941.1	0.000250419	-5.52E-06	-3.04E-05	-6.75E-06	1.07E-05
AC106785.2	-4.04E-05	-1.94E-05	-3.64E-06	-9.21E-06	0.000415957
AC110795.1	-8.68E-06	1.43E-05	1.38E-05	-1.11E-05	-1.98E-05
AC111170.2	-1.43E-06	-2.09E-05	-8.98E-06	-5.70E-06	-2.52E-05
AC113418.1	-1.05E-05	-9.41E-05	0.000738299	-8.30E-05	-1.34E-05
AC113423.2	-6.86E-06	-3.90E-06	-5.80E-05	0.000100297	-1.67E-05
AC123788.1	2.82E-05	2.38E-06	-1.78E-05	-3.52E-06	-3.06E-05
AC126468.1	-7.05E-06	-1.47E-05	-1.39E-05	-5.58E-06	9.61E-05
AC131094.1	0.000334523	-8.47E-06	-3.77E-05	-8.84E-06	-0.000123405
AC133540.1	-1.03E-05	1.74E-05	-3.25E-05	-3.63E-05	1.56E-06
AC134508.2	-2.74E-06	-4.23E-05	7.74E-05	3.08E-05	-3.04E-06
AC135166.1	0.000151269	6.09E-05	0.000104641	-1.94E-05	-2.13E-05
AC136285.3	-2.69E-05	-2.49E-05	-1.89E-05	-1.99E-06	-2.34E-05
AC138646.1	-4.32E-06	-2.94E-05	0.00017576	-1.13E-05	-3.67E-05
AC244093.5	-1.31E-05	-5.34E-05	9.74E-05	5.62E-05	-2.55E-05
AC244502.1	-4.47E-05	-0.000141659	6.24E-05	-0.000114098	5.82E-06
ACAN	-1.43E-05	-0.000119619	0.000597268	-0.000128858	-2.20E-05
ACAT2	-0.000246153	-0.000239451	0.000142038	0.000203957	0.002839879
ACPP	-4.29E-05	3.22E-05	0.000221828	0.000133275	-0.000109456
ACSBG1	-0.000598695	5.16E-05	-0.000845044	-4.59E-05	-0.000856916
ACSM5	-7.72E-05	0.000809219	-0.000132372	-9.24E-05	0.000157986
ACSS3	-0.00054516	-0.000396475	-0.000909417	0.002148767	-0.000908938
ACTA1	8.75E-06	0.000209385	0.000119768	3.40E-05	-2.24E-05
ACTA2	-0.000151642	0.000982244	0.00061191	0.000157836	-0.000269938
ACTG2	0.000116551	0.000104885	0.000242158	-3.50E-06	-4.38E-05
ACTN1	-0.000535858	0.003337018	0.001044211	0.000390586	-0.001191962
ADAM12	-0.000382211	-0.000476154	3.84E-05	0.000870689	-0.000698918
ADAMDEC1	-1.41E-05	7.78E-05	-4.00E-05	0.000125206	4.69E-05
ADAMTS1	-0.000186189	-0.000332642	0.000312177	0.002322924	-0.000374282
ADAMTS4	-5.02E-05	-0.000287681	0.000294103	0.001420857	-0.000177302
ADAMTS5	-6.17E-05	0.000208458	-0.000152604	4.86E-05	8.73E-05
ADAMTS8	-5.24E-05	0.000534475	-9.89E-05	-0.000141776	-5.98E-05
ADAMTS9	-0.000308529	-0.000837346	0.001337121	0.000169984	-0.000637852
ADCY1	0.000906356	-0.00054882	-0.000371335	2.89E-05	-0.000625308
ADCYAP1	0.0004268	-9.52E-05	4.27E-05	-5.56E-06	-0.000190095
ADCYAP1R1	0.000476732	0.002779214	-0.000417097	-0.000416498	0.000157707
ADGRF5	-7.78E-05	-1.89E-05	7.19E-05	-1.91E-05	0.000104488
ADGRG2	8.38E-06	-5.29E-05	0.000220606	0.000141379	-6.36E-05
ADGRG6	3.77E-05	-0.000102377	0.00078596	-8.96E-05	3.09E-06
ADGRL2	-0.000384873	-0.000512269	0.001105626	0.000617958	-0.000868607
ADGRV1	-4.07E-05	0.001707688	-0.000415715	-0.000217849	-0.000391912
ADH1C	8.45E-05	8.74E-05	-1.62E-05	-1.77E-05	-4.51E-05
ADIRF	9.13E-05	0.001798573	-0.000257853	-0.000114022	-0.000110623
ADM	-0.000455726	-0.00012369	0.00395395	1.77E-05	-0.000771241
ADORA3	-2.14E-05	5.31E-05	-6.13E-05	0.000117296	2.24E-05
ADPRHL1	-2.71E-05	-1.37E-06	0.000501595	0.000270062	-8.92E-05
ADRA2A	0.00023187	2.49E-05	0.000175251	0.000126689	-0.000196717
ADRA2B	-5.10E-05	-0.000115262	-0.000130594	0.000304472	-7.00E-05
AEBP1	-0.000566228	0.001970671	-0.000686081	0.002275045	-0.00099739
AF067845.5	-5.19E-06	-5.13E-05	0.00021667	1.33E-05	-2.49E-05
AFAP1-AS1	0.000144054	-6.77E-05	-1.28E-05	3.40E-05	-3.15E-05
AFAP1L2	0.001591777	-0.000126945	-0.000416089	-4.89E-06	0.000875232
AGAP2	0.000831427	-0.000468322	-0.000403391	-0.000284917	-3.04E-05
AGT	-0.00059506	0.000335136	-0.000451622	-0.000497428	-0.000817124
AHNAK	-0.00049289	0.001696465	0.000259159	0.0013029	-0.001112339
AHNAK2	-0.000398024	0.000401814	0.001036976	0.000171093	-0.000683895
AHR	-0.000270422	0.000814164	0.000479541	0.002017741	-0.000773852
AJAP1	-0.000301131	-9.84E-05	-0.000112318	-5.01E-05	0.001487664
AKAP12	-0.000399522	-0.0009497	0.003751354	0.000264857	-0.0007981
AKR1C3	-0.000332228	0.001058451	-3.05E-05	-0.000157043	0.00121892
AL009178.2	0.001022513	-0.000113776	4.22E-05	-4.24E-05	-0.000439647
AL023802.1	-3.69E-05	-2.95E-05	-2.90E-05	1.87E-05	7.15E-05
AL031056.1	0.000338419	0.001191054	-0.000259114	-0.00013357	-2.21E-05
AL032819.1	-8.21E-05	-7.91E-06	4.08E-05	-1.63E-05	0.000390816
AL117348.1	-2.47E-05	8.79E-05	-8.18E-06	5.96E-05	-4.48E-05
AL136114.1	-0.000533703	-0.00013501	-9.52E-05	1.48E-05	0.001755837
AL136372.2	-3.44E-05	6.86E-05	2.63E-05	-2.03E-05	0.000141915
AL137026.1	-2.80E-05	0.000100438	-6.94E-05	6.41E-05	-5.94E-05
AL139351.1	2.00E-05	0.000207634	-8.22E-05	-2.65E-05	-2.34E-05
AL139393.3	0.000261687	0.000125802	8.20E-05	0.000231705	8.63E-05
AL161652.1	-3.27E-05	-2.04E-05	-2.52E-05	2.03E-05	9.45E-05
AL162388.2	-6.62E-06	-2.11E-06	-1.37E-05	-1.65E-05	2.19E-06
AL162574.2	-1.47E-05	1.09E-06	-3.31E-05	6.06E-05	-1.13E-05
AL355607.2	-2.35E-05	-3.83E-05	0.000246088	-4.39E-06	-3.58E-05
AL356309.2	0.000422522	-2.79E-05	-2.72E-05	-9.58E-06	-2.18E-06
AL356961.1	0.000146295	-3.66E-05	4.65E-05	-3.70E-05	-3.96E-05
AL445183.2	-2.34E-06	-1.44E-05	-1.58E-05	-3.57E-06	0.000216407
AL445209.1	0.000342965	0.000335834	-9.92E-05	-4.30E-05	-6.12E-05
AL450423.2	-1.35E-06	5.06E-07	-4.10E-06	-8.39E-06	-1.89E-06
AL590282.2	-1.08E-05	-1.28E-05	-4.03E-06	-7.96E-06	1.02E-05
AL596330.2	7.50E-05	2.84E-05	0.000166239	4.84E-05	-0.000133134
AL606753.2	6.33E-05	-3.31E-06	-2.23E-05	2.75E-06	7.74E-07
AL627316.1	6.53E-05	-2.59E-05	5.48E-05	-1.74E-05	-2.72E-05
AL645465.1	1.51E-05	3.93E-05	-2.50E-05	-3.85E-06	9.64E-05
AL732437.3	-3.65E-05	1.75E-05	-1.70E-05	-1.66E-07	9.00E-05
ALCAM	0.001645002	-0.000247341	-0.000860433	-0.000431721	0.004406016
ALDH1A1	-5.82E-05	0.001053553	0.000179137	-2.95E-05	-0.000210689
ALDH1A3	-0.000199437	-0.00040533	-0.000624383	-0.000357932	-0.00033422
ALDH1L1	-0.000507352	0.000624814	-0.001184639	0.001493909	-0.000749317
ALDOC	-0.000264518	0.002199686	-0.000474152	0.000136248	0.000681071
ALKAL2	-8.42E-05	0.000632109	0.000341406	9.87E-05	-0.00021124
ALOX5AP	-3.08E-05	8.05E-05	2.20E-05	0.000337482	-0.000167812
ALPK2	-8.80E-05	0.000411106	0.000607725	0.000359392	-0.00019631
ALX1	1.28E-06	3.13E-05	6.20E-05	-2.76E-05	-2.26E-05
AMER2	0.001443861	0.00027087	-0.000723521	-0.000160027	0.002694563
ANGPT1	-0.000335655	0.001296663	-0.000362584	-9.07E-05	-0.000573944
ANGPT2	0.000271171	-0.000110126	0.000695037	-1.47E-06	-0.000332681
ANGPTL2	-0.000830818	-0.000273273	-0.000558203	0.000236153	0.004230895
ANGPTL4	-0.000212521	1.22E-05	0.00187672	-5.56E-05	-0.00033838
ANGPTL7	2.48E-05	4.82E-05	-3.97E-05	-5.01E-06	-3.70E-05
ANK3	0.004528318	-0.00022739	-0.000529954	-5.39E-05	-1.64E-06
ANKRD1	-4.96E-06	-1.64E-05	7.22E-05	-8.26E-06	-3.07E-05
ANKRD2	5.97E-06	0.000254643	-9.07E-05	-4.26E-05	-2.83E-05
ANKRD36C	0.002335643	-7.01E-05	-0.000218641	5.56E-05	0.000814731
ANKRD66	-9.34E-06	0.000288143	-6.97E-05	-5.28E-05	-8.37E-05
ANKS1B	0.004378346	-0.000226929	-0.000487652	-0.000127543	0.000391041
ANO4	0.000597366	-0.000293672	-2.08E-05	-2.63E-05	0.000324665
ANOS1	-3.42E-06	0.003295548	-0.000852475	-0.000181053	-0.000139238
ANPEP	-0.000117897	-0.000346232	0.000409445	0.000519474	-0.00017507
ANXA1	-0.000769178	0.001958181	0.000620632	0.000362496	-0.001392531
ANXA2	-0.000763357	0.000974253	0.002031497	0.001289673	-0.001284596
AP000547.3	-0.000225038	-9.95E-05	-0.000115997	-3.56E-05	0.001565139
AP000692.2	7.22E-07	1.92E-05	0.000106711	3.28E-06	1.27E-05
AP001053.1	-1.07E-05	-6.56E-06	-3.57E-05	-7.74E-06	0.000120466
AP002761.2	4.43E-05	2.64E-05	-3.37E-05	-9.72E-06	0.000323285
AP003973.4	2.34E-05	-1.21E-05	-2.76E-06	3.04E-05	-4.24E-05
AP005482.1	3.54E-05	-2.23E-05	-5.15E-05	0.000105972	-3.56E-05
APELA	-2.04E-05	-1.21E-05	-3.67E-05	-1.96E-05	-3.60E-05
APLN	-0.000295492	0.000685551	0.002125901	-0.00019577	-0.000350522
APLNR	-0.000322505	0.004621428	-0.000835367	-3.43E-05	-0.000640138
APOC1	2.13E-05	0.001107237	-0.000207532	0.000155171	-0.000212129
APOD	-0.000230654	-7.28E-05	-0.000331681	-0.000112135	0.002557487
APOE	-0.000531889	0.002199948	-0.000750317	0.000670222	-0.000516398
APOL1	-0.000273216	0.000545952	0.000144148	-0.000313708	-0.000523291
APOL2	-0.000174351	0.00178845	0.00012691	0.00018924	-0.000605724
APOL6	-0.000286716	0.001374453	-0.000624596	0.001023857	-0.000876983
APOLD1	1.88E-05	7.71E-05	1.70E-05	5.47E-05	0.000224965
AQP1	-0.000221057	0.002225821	-0.001048034	0.000984622	-0.000399249
AQP4	-0.000624981	0.004763578	-0.001653553	0.000617757	-0.001089405
AQP9	-9.24E-05	0.000390893	0.000704845	0.000228368	-0.000148679
ARAP3	-0.000193382	-0.000461642	-0.000154868	3.54E-06	-0.000602031
ARC	0.000480209	-0.000182617	-0.000278943	0.001943391	5.35E-06
ARFGEF3	0.001506446	-0.000699813	0.000682716	1.89E-05	0.003666394
ARHGAP20	0.000195508	-0.000360111	5.77E-05	-0.000143854	-0.000380813
ARHGAP26	-0.000141708	-0.0003268	-0.000489525	0.001279391	-0.0006113
ARHGAP29	-0.000399527	0.000797601	0.000262843	0.001514664	-0.000742831
ARHGAP36	0.000484391	0.000355918	5.41E-05	-9.76E-05	-0.000175205
ARHGEF5	-5.34E-05	4.82E-05	0.000505938	1.89E-05	-0.000145202
ARL14	-1.49E-05	5.92E-06	-4.69E-07	1.86E-06	-2.17E-05
ARL4C	0.000752477	-0.000276628	0.003120419	-1.90E-05	-0.001067916
ARMC3	-2.96E-05	0.000809454	-0.00021996	4.54E-05	-6.81E-05
ARNTL2-AS1	-1.08E-05	-1.26E-05	-1.72E-05	2.27E-05	-1.69E-05
ARPC1B	-0.000408805	-0.000327319	8.14E-05	0.00138193	-0.000794381
ARPP21	0.000773573	-0.000265616	-0.000413097	6.17E-05	0.003505092
ARRDC4	0.000360318	0.001160865	0.000156163	0.001177385	-0.000159823
