	OPC-like	AC-like	MES1_like	MES2	Other	NPC-like	MES1
ISG15	0.0002204158413566	0.0010581975728152	9.972245249086928e-05	0.0	0.002434372838924	0.0005481925459187	0.0
VWA1	0.0001090146663362	0.0	0.0	0.0003139714463782	0.001731257935223	0.0001636475443432	0.0017711227568464
HES5	8.779190384605601e-05	0.0002374096525439	0.0	0.0	0.0	0.0019775789096214	0.0
AJAP1	0.0015764460393343	0.0	1.3996941834364004e-05	0.0	0.0	0.0	0.0
KCNAB2	0.0001906806058055	0.0	0.0001417288783065	0.0	0.0004894490636906	0.0003451737640306	0.0013219556914999
TNFRSF9	0.0	5.6183093519261495e-05	0.0001225450164725	0.0003375474775016	0.0	0.0001582461353473	3.354591671805921e-05
ERRFI1	4.837979019683605e-05	0.0	0.0008601230433387	0.0023083691687234	0.0013475628333636	7.812751647588596e-05	0.0005715412955922
SLC2A5	2.9085056997396593e-05	0.0004116551514098	0.0002606865116802	0.0007168222362472	0.0006575018061587	3.825514368841723e-05	0.0
SPSB1	0.0003013724475775	0.0002839165661551	0.0009942746971953	0.0005030508274734	0.0	0.0001686497792598	0.0012365178651869
ANGPTL7	0.0	6.793421896241626e-05	6.802957959646744e-05	0.0	3.775720829695553e-05	3.968359634086892e-05	7.031670579702376e-07
FBXO2	7.866791849962401e-05	0.0016503810043844	0.0	0.0	0.0	2.492471679547043e-05	0.0
DRAXIN	8.639437043514548e-05	0.0	0.0007836794976582	0.0017947468832454	0.0018931012013449	0.0008821779482499	0.0
NPPA	0.000882640711735	0.0	0.0	0.0	0.0007563915031981	0.0017031880849967	0.0
NPPB	0.0	0.0	0.0	0.0004244097394495	0.0	0.0	0.0
DHRS3	0.0	0.0010908854748911	0.0019101987628632	0.0012971843043354	8.346805368283106e-05	0.0	8.1887693825671e-05
PDPN	0.0	0.0004824123341177	0.0020397022140332	0.0022073869893847	0.000293788488139	0.0	0.0020804946637115
EFHD2	0.0004495415546129	0.0	0.0003028503525267	0.0	0.0012987314958673	3.166276662111293e-05	0.0023079130864491
PADI2	0.0	0.0	0.0	0.003126511634636	2.40201009010893e-05	9.45437231592935e-05	0.0
PADI1	4.687625621451263e-05	2.3940065069004863e-05	0.0001004169989375	0.0002215115401669	0.0	0.0	0.0
IFFO2	0.0001011296813278	0.001585302819966	0.0007025534707984	0.0015640309877365	0.0001924977132566	0.0002823197752411	0.000617109656696
NBL1	6.215700470722175e-05	8.095111809254101e-05	0.0019794067381782	0.0003023587870349	0.0	0.0004399438704173	0.0
PLA2G2A	0.0	0.0006937442610495	0.0	0.0	0.0	0.0	0.0007684007213299
WNT4	0.0	4.327614227533724e-06	0.0	1.5249488019580972e-05	0.0001255534736128	0.0004029476999263	0.0001575630959524
ZNF436	0.0001380024385551	0.0004731531823371	0.0020758034027203	0.0	0.0010872434236987	0.0001139832914352	0.0004286471123261
