	Microglia	Complement_Immunosuppressive	Neutrophil	Scavenger_Immunosuppressive	G2_M	IFN_Response	IL1B_CD83_TNF_Inflammatory	cDC	G1_S	Hypoxia	Inflammatory_microglia	HS_UPR	Macrophage	Monocyte
MARCH1	0.000960172	0.002614703	0	0.001466628	0.000313595	0.001490538	0.000392648	0.001401461	0.00010985	0.000648287	0.00042274	0.00038582	0.000228519	0.001080454
AATK	0.000170183	0.000202796	0.00203046	0.001220083	0	0	0.000853611	3.4939E-05	0	6.53534E-06	0.000105956	0.00044194	0.000103408	0.000412092
ABCA1	0.000515821	0.00146718	0.000189524	0.002328003	0	0	0.000501741	7.43822E-05	0	0.002124277	0.000532182	1.29437E-05	0.001797327	0.000810193
ABCA13	2.94382E-05	0	0	0	0	0	0	3.04014E-06	0	1.23926E-05	1.30059E-05	0	0	3.11204E-05
ABCC3	0.000201389	0.000974669	0	0.001470536	0	0	0.000179425	8.62803E-07	0	0.000197114	0	0	0.001062048	0.001066042
ABCC5	0.000647305	0.000961168	0.000654731	0.000371904	4.80524E-05	0.00021811	0.000102267	2.53364E-05	0.0001336	0	0.000918717	0.000111472	0.002326381	0.000120554
ABCG2	0.000446649	0	0	1.25716E-05	2.92941E-06	0	0	0	0.000155654	0.000306824	0.001768407	5.47721E-05	0.00016086	1.37449E-06
ABHD5	9.47412E-05	0.000605637	0.00382434	0.000409033	8.37125E-05	0	0.000996578	0.000100694	0.000334421	0.000220333	0.000168937	0.000647355	0.000326672	0.000780322
ABL2	0.000232115	0.000328482	0	0.000975969	2.09612E-05	0.000128615	0.00418594	0	0.000151421	0.000531362	0.000190589	8.67712E-06	0.000139309	0.000114651
ABLIM3	0.000125091	0.000518853	0	0.002203771	6.34904E-05	0.000197553	3.81138E-05	0	1.09923E-05	0.000473319	0	0	0.00012051	9.63692E-05
ABRACL	0.000599714	0.000309313	0	0.000855503	0.000342718	0.001240156	0.000156562	0.00080913	0.000691529	6.15617E-05	4.37409E-05	0.000429361	0.001803995	0.001200948
AC002456.1	0	7.00667E-05	0.000313038	1.99038E-05	1.90713E-06	0.000109895	0.000353038	0.000426535	0.000178208	3.96305E-05	8.24009E-05	0.000260892	0.000140113	0.000333642
AC004593.2	0.000319478	1.11378E-05	0	0	0	8.46042E-05	0.000204098	9.09939E-05	0	0	0.000518784	0.000135652	0	4.63435E-05
AC004687.1	0.000514529	0.000218992	0.000449215	9.47624E-06	5.25878E-05	0.000141188	0.001203921	0.001031908	6.47103E-05	0.000243443	0.001533141	0.000122911	6.10111E-05	0.00042467
AC004817.3	4.06064E-05	0.000195412	0.000298863	1.32664E-05	8.55929E-05	0.000259786	0.000625302	0.000481327	0.000170417	0.000543664	0.0005717	0	0	4.09173E-05
AC005224.2	2.45573E-05	2.4628E-05	0.000169614	0.00021234	3.80432E-05	0	7.15187E-05	0.000573502	0.000187259	8.25531E-05	0	0.000119435	0	0.000492947
AC005280.1	4.74642E-05	9.86123E-05	0.000300303	0	0	0	0.00068339	0	6.78565E-05	0	7.21746E-05	0.000531859	0	0.000138657
AC005837.1	0.000150201	0.00013299	5.8924E-05	4.60355E-05	0.00014202	8.30447E-05	2.97928E-05	1.58548E-05	5.19125E-05	0	0.000707222	0.001238406	8.45882E-06	2.03985E-05
AC007384.1	0	0.000193624	0.000285374	0.000142929	0	0.000284927	0.000748271	0.000291399	0	0.000170795	0.000182892	0.000565655	0	0.000573022
AC007613.1	0.000418898	9.10273E-05	0.000407021	4.91656E-05	0.000253849	3.81702E-05	0.000291096	3.88036E-05	8.38929E-05	1.27233E-05	0.000612194	0.000921496	1.15473E-05	0.000130478
AC007877.1	0	0.001059198	0.000520381	0.000180981	0	0	0.000325474	2.23477E-05	7.36987E-05	0.000203243	0	6.02927E-05	0	9.21564E-05
AC007952.4	0.000749418	0.000154675	0	0.000169984	0.000209711	0.000275521	0.00165085	0.000124891	5.73986E-05	6.10508E-05	0.00190879	0.000762946	0.000247219	0.000275311
AC008429.1	0.000140896	1.09817E-05	2.7693E-05	0	1.76561E-05	0.000182098	0.000286749	2.89174E-05	0	4.09312E-05	0.000459973	6.03166E-05	1.07728E-06	1.39234E-05
AC008759.3	0.0004429	0.000358975	0	7.39388E-05	0.000123518	8.70123E-05	0.000116461	0.000348216	3.39412E-05	0	0.001157492	0.000115326	4.56763E-05	3.15704E-06
AC008760.2	0.001382767	0.000844449	0	0	3.97851E-05	0.000534497	0.00015678	8.65089E-06	0.000198404	0	7.96706E-05	0.000233829	0	0
AC009041.2	0.00012543	5.41159E-05	6.45271E-05	0	1.94843E-05	0.000118451	1.35412E-05	8.13114E-05	5.32147E-05	8.91212E-06	0.001095155	0.000202332	0.000145089	8.18504E-05
AC009404.1	8.91479E-05	0.00017842	0.000194756	4.18874E-05	2.34964E-05	0	0.000593044	0.00024211	6.22062E-05	6.78298E-05	0.00044203	9.8786E-05	3.7495E-05	0.000227623
AC010168.2	8.30933E-05	0.00033545	0.000147573	0.000163005	8.4908E-05	0.000163429	9.70683E-05	5.0519E-05	1.42067E-05	0.000109821	0.000397323	0.000822322	9.55511E-05	9.80935E-05
AC010491.1	3.92564E-06	5.31338E-07	0	9.72462E-05	0	0.000217729	2.88658E-05	2.18189E-05	0.000173047	0	0.000206419	0.001583059	2.67078E-06	4.06794E-05
AC011139.1	0.000228386	1.78545E-05	0	0	0	0	0	0	0	0	0.001704871	0	0	0
AC015871.7	0.00046884	0.000141144	0.001008527	7.09303E-05	0	7.66972E-05	0.000317704	9.64742E-05	7.6296E-05	6.52961E-05	0.000434141	0.001035018	1.98764E-05	0.000496201
AC015912.3	7.68915E-06	0	0.000449394	0.000275428	0	0.000162174	0.000396992	9.06317E-06	7.69765E-05	0.000697316	0.000147914	0.000244787	0.000231846	0.001095924
AC016773.1	0.000202265	3.80327E-05	3.01904E-05	0.000184308	0	0.00014168	0	1.55767E-05	8.00461E-05	3.35347E-05	0.000124936	0.002031071	2.56655E-05	0.00013761
AC016831.1	4.19658E-05	0.000101249	0.000779998	0.000199748	0	0.000164941	0.001260822	0.000705655	5.85101E-05	0.000125561	0.00042066	1.64939E-06	5.78237E-05	0.000784898
AC018926.2	0.000427799	4.22713E-05	0.000384022	3.22686E-05	8.41416E-06	0.00027649	0.000120792	5.14201E-05	1.0898E-05	0.000113155	0.000113073	0.001102182	3.96369E-05	0.00014147
AC020656.1	7.94777E-07	3.83355E-06	5.93131E-05	3.25653E-05	0.000555926	0	0	0.001030253	1.87093E-05	2.91783E-05	0	0.000408481	0.000333328	0.003103294
AC020916.1	0.000564946	0.000760734	0.001140363	0.000711965	0.000316795	0	0.001870965	0.000171727	0.000199152	6.24722E-05	0.001633831	0.000802322	0.000130119	0.000600735
AC022509.4	2.32033E-05	0	0	0	0	0	0.001510166	0	4.06939E-05	0	0.000521037	0	0	0
AC022868.2	0.000226687	0.000314269	0	0	6.33608E-05	0	0.000772151	1.30326E-06	7.11315E-05	0	0.001148728	0.001168648	0	0
AC023157.3	0.000192487	8.19519E-05	0.002224794	0.0001599	4.19866E-05	0.000324767	0.000183543	7.11377E-05	2.79628E-05	0.000220505	0.000631938	0.000380103	2.16418E-06	0.000133337
AC025164.1	0.000206209	0.000195918	2.41091E-05	0.000113777	7.53567E-05	0.000163732	0.000454802	0.000465833	0	0.000477827	0.000725913	0.000387386	1.50344E-05	0.000632969
AC025171.3	0.000114775	0.000163286	1.92598E-05	0	6.96202E-05	1.1956E-05	0.000106099	0.000215785	0	3.56272E-05	0.000500917	3.14054E-05	4.95364E-05	0.000161594
AC025822.1	0.000195	3.15068E-05	0	2.05342E-05	1.30631E-05	0.000158417	0.000219942	1.82527E-06	9.9779E-05	1.26841E-06	0.00044019	0.000771354	7.37453E-06	0
AC026369.3	0	0	0	0	0	0.000274723	9.43848E-05	0.000833485	0	0	0	1.27433E-05	0.001562642	8.09705E-05
AC026461.3	4.88553E-05	0.000123644	0	0	0	0.000334463	0.000226029	0	0	0	0.00025947	0.000312597	6.57873E-06	1.34898E-06
AC026979.2	0.000105211	5.57522E-05	0.000439947	5.85521E-05	0.000105353	0.000200651	0.000345712	0.000307801	8.19707E-05	9.7738E-05	0.000825247	0.000252622	0.000174421	0.000257309
AC037198.1	0	0.000591104	0	0.000113864	0	0	0	0.000158588	0	2.42897E-06	0	0	0	0.001820932
AC044849.1	0.000253926	0.000219742	0.000321424	7.37405E-05	4.69498E-05	0.000164672	0.000119374	0.000422784	0.000167237	0.000130678	0.000521061	0.000151861	0.000316161	0.000218947
AC044893.1	0.001541811	0	0	0	3.63004E-06	0.000135321	3.90694E-06	0	0	0	5.78141E-05	0.000104505	0.00010766	0
AC058791.1	0.000193589	0.000128353	0.000223774	6.4548E-05	0	0.000122014	0.000739578	0.00129269	1.25593E-05	0.000297559	0.000572006	0.000420613	3.15694E-05	0.000222505
AC066613.1	0.00104619	2.38721E-05	4.81341E-05	6.78926E-05	1.54317E-05	0.000339839	1.31328E-05	4.38943E-06	1.4178E-05	0	5.54907E-05	0	0.000238723	3.31429E-06
AC067930.8	0.000189652	0.00013945	0.000231076	0	0.000116441	0.000554776	0.000157251	5.79314E-05	3.6912E-05	0	0.000967691	0.000290683	0.000104373	0.000257145
AC073352.2	5.67041E-05	5.55684E-06	0	0	8.08092E-05	0.000323261	0.000926859	0.000202921	0	0	0.000891448	0.000520369	0	0
AC074099.1	3.19994E-05	0.000382636	1.70908E-05	0.000167989	1.65732E-05	3.30333E-05	0.000346298	5.83793E-06	2.72875E-05	0	0.000122187	0.00048625	2.07016E-05	6.90936E-06
AC079209.1	0.000189141	0.000254078	0.000566777	0	0.000153111	0.000336645	0.000297433	2.32208E-05	5.32633E-05	1.41429E-05	0.000769941	0.000324934	0.00019315	0.000292419
AC079753.2	2.13952E-05	0.000103968	8.29958E-05	0	0	3.85125E-05	0.001276243	2.06162E-05	0	8.27467E-06	0.000254789	0.000745097	0	0.000307925
AC083862.3	0.000494245	4.75347E-05	0.000840766	0	2.11265E-05	0.000212469	0.000198168	5.02206E-06	0	0.001359368	0.000390898	0.000490427	0.000193682	4.30687E-05
AC084871.1	0.000409614	1.04381E-05	0.001531488	0	1.87054E-05	0.000291597	0.000120807	0	1.64795E-08	0	0.001030498	9.25148E-05	8.84758E-05	1.82001E-05
AC090617.10	5.50334E-05	0.000145511	0	2.04806E-05	8.10075E-06	0.000107694	0.001251999	0.000595035	0	3.61179E-05	3.41311E-05	1.30232E-05	7.42316E-05	0.000582557
AC091271.1	0.000322653	0.00035908	0.000320307	2.98227E-05	8.01093E-05	0.000168136	0.000622558	0.000227026	1.68555E-05	1.94066E-05	0.000893411	0.001559658	0.000115698	8.4723E-05
AC091814.1	0	2.6755E-05	0.000168442	4.39481E-05	2.92256E-05	2.28349E-05	8.62971E-06	6.6055E-05	9.1133E-06	1.01106E-05	0.000629617	0.000752675	0	3.15488E-05
AC092803.1	0.000232395	0	0	0	0	0.000526977	0.000920667	5.7667E-05	4.53232E-05	3.14144E-06	0.000683399	0.001219666	0.000169639	0.000210489
AC093821.1	0.000567264	5.9526E-05	0	0	1.32409E-05	0.000345907	0.000311881	0	1.27552E-05	3.13958E-05	0.000684412	0.00020456	0.000480257	0
AC093849.4	0.000266805	0.000530544	6.80102E-05	0.000840772	0.000178102	0.000169705	0	0	5.56103E-05	0.000163286	0.000177181	5.84717E-05	0	0.000402568
AC093895.1	0	0.000450429	0	0.001747423	6.9839E-05	0.000150685	7.19828E-05	0	0.000491908	0.00034678	0	6.82422E-05	0	3.50571E-05
AC098818.2	0.00018684	7.16576E-05	0	0	0.000173761	0.000170351	0.000190265	6.15869E-05	7.06642E-05	6.97825E-06	0.001425688	0.000864085	9.28671E-05	4.33287E-05
AC100849.1	3.37589E-05	0.000345289	0	0.000310859	0	0.000607121	0.000205487	0	6.99298E-05	0.00012599	2.44462E-05	3.57935E-05	0.000103163	0
AC103591.3	0.000357164	0.000158397	0	0	0	0.00067536	0.00084988	0.000104772	6.79868E-05	0	0.001946965	0.000249804	4.45685E-05	8.23227E-05
AC103706.1	9.38502E-05	0.00013954	0.000205471	4.35359E-05	8.2671E-05	0	6.57781E-05	2.86584E-05	1.37679E-05	7.57746E-05	0.000582948	0.000294167	7.33536E-05	0.000166204
AC104695.4	5.57343E-05	0.000533123	0.000881154	0.00014383	0.000144205	0	0.000435785	0.000855423	4.35975E-05	8.30025E-05	8.11003E-05	0.000164879	0.000264382	0.001171223
AC105046.1	0.000568519	0.000439312	0.000383143	0	0	0	0.000677416	0	2.03454E-05	0	0.000702033	0.000924513	3.66884E-05	0
AC106028.4	0.000318304	0.000143444	0	6.09328E-05	8.092E-05	0	0.00125827	3.49702E-06	3.35313E-05	6.19655E-05	0.000479752	0.00062603	4.43749E-05	0
AC106739.1	0.000250327	0.000162752	4.35625E-05	0	0.000104708	8.23204E-05	0.001174154	0.00020726	0	2.42339E-05	0.000186895	0	0	4.66611E-05
AC108134.2	0.000434594	1.73225E-05	0	0.000247416	0	0.000104018	9.08651E-06	1.34176E-05	1.95367E-05	0.000174676	0.000135677	0.001123008	5.06204E-05	7.98246E-05
AC109630.1	0	0.001109643	0	0.000107869	0.000188736	2.0399E-05	8.32933E-05	0.000337689	5.43252E-05	0	8.75432E-05	0.000422497	0	0.000239047
AC112496.1	3.11783E-05	9.13213E-05	0.000448137	0.000171429	0	0.000229339	0.000789549	0.000310544	7.59183E-05	0.000431839	2.14684E-05	0	0.000109203	0.001101851
AC113143.3	0.00012239	0	0.000272178	0	0	0.000148715	0.000100749	2.42942E-05	3.0958E-05	0	0.000737857	0.000120453	0	4.47265E-06
AC114977.1	4.66181E-05	0.000182049	0	0	0.000139586	0.0003957	0.000235732	1.77123E-05	1.64528E-05	8.10124E-06	0.000223926	0.000301251	6.20724E-05	0
AC124248.1	0.000122257	0.000216696	0.000199014	0.000183258	0	0	0.000107606	1.56739E-05	0	0.000177156	0.000134576	5.49291E-05	0.000226991	0.000504785
AC124283.1	9.00962E-05	7.26266E-05	0.000136036	8.59039E-05	5.79963E-05	0.000140616	0.000119608	5.62029E-05	2.60402E-05	9.65967E-05	0.000337359	0.000434533	6.41132E-05	0.000128092
AC135050.1	8.22143E-05	0.000175389	0.00011538	0	0	0	0.00049764	4.08904E-05	0	0	4.16365E-05	0.000338013	1.13563E-05	0.000222102
AC135050.3	4.67278E-05	0.000173371	0.000253058	9.33801E-06	4.20993E-05	2.48936E-05	0.00089427	9.80189E-05	0	6.24971E-05	0.000120921	0.00021246	3.48907E-05	0.000130862
AC239799.2	5.59418E-05	9.94817E-05	0	6.14469E-05	6.5791E-05	7.5315E-05	0.00052894	1.26189E-05	0.000366781	2.15376E-06	0.000710278	0.000291655	0	3.43663E-05
AC243772.2	0.000472497	0.00010787	9.31808E-05	1.88586E-05	1.54698E-05	0.000114864	0.000117722	0	7.32623E-05	0	0.001084246	0.000712306	0	0
AC243829.4	5.88893E-05	5.44566E-05	0	0	1.87848E-05	0	0.000850416	0	0	3.38192E-05	0.001032092	0.000514856	0.000422064	0
AC243960.1	0.00045507	0.000297354	0	0	0.000102369	8.52394E-05	0.000125533	3.82159E-05	6.28859E-05	0	0.001410792	0.00015125	1.18029E-05	2.27669E-05
AC244453.2	0.000500157	5.41226E-05	0	0	4.42072E-05	0.000133486	5.5672E-05	0	1.66479E-05	2.37229E-06	0.001127737	0.00043086	0	0
AC245014.3	0.000249835	0	0	0	7.87043E-05	0.000143457	0.000631793	6.23221E-05	0	0	0.001857168	0.000802599	0	2.17206E-05
AC253572.2	0.000270948	0	0	1.77265E-05	3.75637E-05	0.000258869	0.000825673	0	0.000123077	0	0.002564086	3.0738E-05	5.12721E-05	2.79213E-05
ACE	8.52088E-05	0.000733327	0	0.001259361	0	5.75173E-05	0	0	2.35623E-05	0.000163416	4.42326E-05	0	0.000843214	9.38866E-05
ACKR3	0	0.000344438	0	0.001023803	0	2.3864E-05	0.000431958	1.52123E-05	0	0.000391871	0	0	0	0.001326702
ACP2	0.000837342	0.001528047	0	0.001489583	1.39328E-05	0.000280404	0.000182506	2.86667E-05	2.74984E-05	5.60803E-05	0.000291446	0	0.002506772	0.000155564
ACP5	0	0	0	6.55245E-05	0	0	0	7.65698E-05	0	1.34779E-05	0	0	0.005013343	0.000204317
ACSL1	0.000758272	0.001758119	0.004717624	0.001078886	0.000220481	0.000826349	0.001601367	9.1309E-06	0	0.000818616	0.000725112	0.000132624	0.000483786	0.00146903
ACTN1	7.61936E-05	1.43602E-05	0.003356957	0.001584391	0.000584395	0	8.78456E-06	0.001517691	0.000343918	0.000436727	0	0	0.001163526	0.001715241
ACTRT3	3.7341E-05	0	0	0.00015215	6.62305E-06	3.35696E-05	9.58945E-05	0	0	0.00012293	1.49366E-05	0.003890409	6.88809E-05	2.27622E-05
ACY3	0.000708329	0	0	0	0	0	0	7.41183E-05	3.67539E-05	0	0.001886879	0.000293999	0	0
ADA	0	0.000108974	0	0.000181139	7.67326E-05	0.000340502	0.000154123	0.000658125	9.55813E-05	0	4.90841E-05	9.17484E-05	0.000694599	0.00089635
ADAM12	4.47681E-05	0	4.30737E-05	0.000868675	0.000135174	0	0.000103141	0.000150434	4.72335E-05	4.36424E-05	4.52538E-05	9.46169E-07	0	9.32568E-05
ADAM19	0	0	0.002276756	0.000326306	7.36368E-05	0	0	0.002760907	1.54356E-06	1.30494E-05	0	0.000125066	0	0.001251898
ADAM8	0	0	0.002026846	0.001315329	0	3.21659E-05	1.11804E-05	0.000620276	0	0.003870379	0	0	0	0.000815735
ADAMDEC1	0	0.001253683	0	0	1.10182E-05	0.000640641	0	4.46753E-05	1.26707E-05	4.89259E-05	0	0	0.002125724	3.05897E-05
ADAMTS2	0.000197208	0.001201104	0	0.00144517	0	1.38512E-05	0.000246628	0	0	1.49828E-05	0	0.000104316	0	0.00056006
ADAMTS4	0.000731062	0	2.77074E-05	0	2.09881E-07	0	0.000406637	6.15222E-06	0	0	0.000248501	8.25437E-05	0	1.65213E-06
ADAMTSL2	0.002094449	3.65826E-05	0	0	5.50023E-06	7.25099E-05	0.000225467	0	0	0	0.000895913	0.000266827	0	0
ADCY3	0.000553532	0.000385127	0	0.000263475	0	0.000275521	7.95287E-05	0.000187901	0.000712693	0.002748574	1.95418E-05	0	0.001631612	9.31583E-05
ADGRE2	0.000366037	0.00177234	0.001065396	0.001035552	3.32242E-06	0.000595672	0.001259588	0.000380762	0	0.000198687	8.87325E-05	0.000262522	0	0.001560788
ADGRE3	1.77012E-05	0	0.003363352	0	3.73437E-06	2.77097E-05	0	0.000588568	1.11472E-05	4.86615E-05	1.20813E-05	6.17839E-05	1.35559E-05	0.000488736
ADGRE5	0.000465787	4.34021E-05	0.00425394	0.000239698	0.000142495	0.001081008	0.000555797	0.000652972	4.58609E-06	0	0.000261675	0.000165409	0.000239334	0.001794693
ADGRG1	0.002721237	0.000475104	0	0.000308676	6.6974E-06	6.41263E-05	0.000424956	0	2.45143E-05	1.20129E-05	0.002522734	0.000342711	0	0
ADGRG3	6.7959E-06	0	0.004991888	0	3.58042E-06	0	0	0	4.69342E-05	5.0173E-06	1.37085E-05	0	0	0.0008841
ADGRG6	0	0.001433892	0	0.000669571	8.9612E-05	9.12095E-05	0.000565451	0.000355087	0.000371224	0	0.000737756	0	1.6397E-05	0
ADM	0	0.000161308	0.000522211	0.000853487	0	0	0.000711495	0	5.4785E-06	0.004003944	3.78005E-05	0.001952499	0.000337693	0.000679917
ADRB2	0.001421139	0.000260428	0	4.25289E-05	5.1947E-05	0.000165141	0.000500878	1.33276E-05	0	6.81734E-05	0.002104105	0.000665124	0.000291331	8.74381E-05
ADSSL1	0.000480325	0.00033776	0	0.000218245	5.94947E-05	0	4.2925E-05	1.29955E-05	7.22424E-05	0.004293812	0.000159394	0	6.31712E-06	8.13612E-05
AFDN	0.001109267	0.000151096	0.000465742	0.000624419	6.08021E-05	0.000225307	7.15424E-05	0.001048906	0.000309284	0.000310325	0.000457671	0.000298244	6.52218E-05	0.000157173
AFF3	0	0	0	6.21474E-06	0.000173728	0	5.27166E-05	0.002897965	0.000231245	0	0.000737821	7.32725E-06	0	0.000117486
AGFG1	0.000292063	0.000930158	0.001515738	0.002745035	0.000410394	0.00021305	0.000483317	9.12123E-05	0.000107536	0.000961587	0.000418588	0.000438701	6.57275E-05	0.002178963
AGRP	0.000169094	0	0	2.40985E-05	0	0	5.80007E-05	0	0.000163978	9.53054E-05	0	0	0.000707907	0.000234178
AGT	0.000259367	0.00032601	5.63998E-06	4.53249E-05	2.16846E-05	0.000341373	8.57356E-05	9.27483E-05	0.000165855	0.000111979	0.000128014	0.000102505	0.000237411	0.000111011
AHNAK	0	0.000289887	8.90702E-05	0.00191675	0	6.55726E-05	0.000547426	0.001753683	0	0.000304011	0.00013837	0	0.001593995	0.002054607
AHR	0	0.001383219	0	0.00100856	0.000198759	0	0.000915513	0.001851195	4.67078E-05	7.41643E-05	2.11624E-05	0.00033622	0.00079077	0.001532693
AK4	0	0	0	2.98021E-05	4.04029E-05	0	0	7.31099E-07	0.000105634	0.003774648	6.47394E-06	0.000232061	0	0.000502233
AKAP12	0.000232638	2.58941E-05	1.14488E-05	3.85068E-06	3.0713E-05	0	0.000166325	0.000129511	1.10785E-05	0.000125147	0.000112404	0	0	0.000463144
AKR1B1	0.001325197	0.002434301	0	0.000118313	0.000364736	0.000632908	0.000284121	6.20467E-05	0.000532839	1.18209E-06	0.000918826	0.000202357	0.002812743	1.60953E-05
AKR1C3	0	0	3.29839E-05	2.60354E-05	0	0	0.000106242	0.001776158	2.11021E-05	1.15263E-05	7.51411E-05	0	0.000822177	0.000288353
AL021155.5	0.000128916	0.000440673	0	5.87987E-05	0.00013097	0.000173637	0.001029538	0.000105478	2.48078E-05	8.00891E-06	0.001439563	0.000760512	5.97713E-06	9.14683E-05
AL024507.2	7.99894E-05	0.000256174	0	4.62363E-05	9.25979E-06	0.000127808	0.000172369	1.64759E-05	3.82672E-05	3.93414E-06	0.000424136	0.000202881	5.54624E-05	3.7782E-05
AL034397.3	0.000446414	8.40112E-05	0.003328475	0.00011514	1.93297E-05	0.000156324	0	0.000306076	0	5.00781E-05	0.000666547	0	0	0.001781719
