	Treg	Cycling	Naïve/Memory	Effector
A2M-AS1	-0.000169369	-7.49E-05	0.000222258	4.14E-05
ABCA1	0.000556995	-0.000115027	-1.06E-05	-6.66E-06
ABCB1	-0.000447683	0.000237344	-0.000156623	0.001987885
ABHD2	0.000387775	0.000548701	-0.000213447	0.001697544
ABL2	-0.00019669	-3.68E-07	0.00029058	4.34E-05
ABO	-0.000106958	-0.000118346	0.000273527	5.15E-05
AC004461.2	6.52E-06	-5.09E-05	7.68E-05	-2.64E-05
AC004494.1	-4.61E-05	-4.13E-05	8.74E-05	-2.19E-05
AC004585.1	0.000153352	0.000150469	0.00028698	-0.000227497
AC005041.5	2.45E-05	9.82E-05	8.07E-05	7.18E-05
AC005534.1	-7.10E-05	2.50E-05	0.000121169	1.60E-06
AC005842.1	-0.000164229	-3.47E-05	0.000271908	-0.000223841
AC006033.2	-0.000208775	0.000282356	-0.000358803	0.00193221
AC006064.2	4.32E-05	-1.56E-05	2.18E-05	5.66E-05
AC006504.1	-7.28E-05	-4.63E-05	1.72E-05	8.20E-05
AC006504.7	0.000146888	5.22E-05	8.00E-06	-3.70E-05
AC006942.1	-5.80E-05	-2.85E-05	4.74E-05	-5.28E-05
AC007038.1	-1.83E-05	1.63E-05	4.34E-05	0.000280953
AC007114.2	3.07E-05	-2.07E-05	3.71E-05	-1.14E-05
AC007278.1	4.25E-05	-1.85E-05	1.09E-05	4.74E-05
AC007546.1	-9.41E-06	-3.83E-05	5.50E-05	1.41E-05
AC008115.4	-2.62E-05	-8.12E-06	2.55E-05	-5.04E-05
AC008906.2	-0.000131528	2.46E-05	0.000134953	-5.85E-05
AC008969.1	-1.55E-05	0.000191544	0.000109647	4.19E-05
AC009148.1	4.89E-05	-3.55E-05	4.40E-05	-7.00E-05
AC009163.7	-4.72E-05	-3.88E-05	0.00012659	-1.18E-05
AC009495.3	7.97E-05	-3.75E-05	-1.74E-05	0.000347774
AC010210.1	-8.40E-06	-9.49E-05	6.78E-05	0.00016442
AC010247.1	0.000125919	-3.06E-05	-3.25E-06	2.63E-05
AC010247.2	1.44E-05	0.000914302	3.51E-05	-0.000193689
AC010491.1	9.85E-05	-5.61E-05	3.62E-05	1.58E-05
AC010654.1	0.000338534	-2.48E-05	-1.82E-05	3.14E-05
AC010754.1	-3.63E-05	-6.74E-06	3.24E-05	-6.62E-05
AC010883.2	-0.000105512	-6.06E-05	0.000105923	-2.68E-05
AC011912.1	-6.27E-05	-4.67E-05	4.23E-05	9.26E-05
AC011921.1	5.19E-05	2.95E-05	2.48E-06	-2.73E-05
AC012020.1	-0.000121937	-6.84E-05	0.000119674	0.000430415
AC013472.3	-9.92E-05	-1.83E-05	7.56E-05	8.38E-06
AC016074.2	-0.000161934	-2.93E-05	0.000112755	1.68E-05
AC018690.1	-1.78E-05	-1.71E-05	9.53E-05	4.65E-06
AC020659.1	-0.000118991	5.93E-05	0.000318714	-0.000154721
AC020916.1	-0.000399735	-1.94E-05	0.000464286	0.000364066
AC023908.3	0.000101274	-2.62E-05	1.56E-05	1.75E-05
AC024257.3	-8.62E-05	0.00012582	9.99E-05	-0.000106337
AC026471.2	-2.55E-05	-5.59E-05	0.000103404	-3.29E-05
AC026801.2	-7.30E-05	-4.84E-05	0.000109039	-7.63E-05
AC026979.4	-2.33E-05	-5.15E-05	3.57E-05	0.000102726
AC060780.1	0.00018401	4.20E-05	3.96E-05	0.000181145
AC073957.3	-0.00010696	-2.76E-05	3.26E-05	0.000508833
AC079336.5	-0.000105901	5.66E-06	8.49E-05	-0.000128741
AC087878.1	0.001021557	-0.000113032	-9.29E-05	-6.20E-05
AC090559.1	0.00033896	0.000140016	-3.39E-05	6.03E-05
AC092683.1	-3.27E-05	0.000204832	0.000587103	-0.000110393
AC096564.1	-8.07E-05	2.14E-05	1.88E-05	0.00012379
AC103703.1	-3.59E-05	4.37E-05	1.22E-05	0.000225003
AC105180.2	-5.45E-05	-1.80E-05	4.26E-05	2.83E-06
AC107214.1	3.22E-05	2.16E-05	-8.99E-06	8.27E-05
AC107375.1	-0.000149137	0.000665504	-1.84E-05	0.000290876
AC107884.1	-3.73E-05	-5.11E-05	2.67E-05	0.000148678
AC108105.1	-0.000116291	-7.67E-05	3.63E-05	0.000359767
AC108134.2	-9.89E-05	-2.40E-05	9.32E-05	1.89E-05
AC114811.2	0.000515862	-0.000107452	-2.67E-05	6.92E-05
AC117453.1	9.35E-05	-7.23E-05	-4.90E-05	0.00043165
AC121757.2	5.01E-05	-2.63E-06	1.86E-05	0.00034252
AC139019.1	-3.75E-05	-4.81E-05	2.76E-05	3.29E-05
AC139795.2	2.49E-05	-6.73E-05	8.96E-06	0.000138019
AC145285.6	0.000185043	6.04E-05	4.75E-07	8.15E-07
AC232271.3	0.00159475	-0.000109278	-0.00029831	-0.000164419
AC234917.3	0.000703107	-0.000123645	-9.28E-05	0.00014805
AC243829.4	-8.79E-05	3.82E-05	-8.94E-05	0.000917922
AC245060.5	0.000258656	-0.000119513	2.25E-05	0.000136675
ACER3	0.000371667	0.000443197	-1.13E-05	0.000313794
ACO1	-0.000238702	0.000415046	0.000104631	0.000232488
ACSL4	0.003454957	0.000435896	-0.000535551	-6.70E-05
ACSL6	-0.00051282	0.000190602	0.000520687	-0.00035436
ACTB	0.002261852	0.003429718	-0.000208049	0.000745937
ACTG1	0.002478292	0.002641762	-0.00017231	0.000859566
ACTG2	0.001237217	0.000683894	-0.000277664	-0.000172178
ACVR1C	-0.000340457	0.00010787	0.000281143	-0.000220037
ACVR2B	0.000262806	-6.28E-05	8.97E-05	-2.66E-05
AD000090.1	-0.000388009	0.000544953	0.000548566	0.000120026
ADAM12	0.000857442	-0.000166027	-8.87E-05	-3.60E-05
ADAM19	0.000418583	0.000411586	0.000439551	-0.000440547
ADAM23	-0.000278939	1.55E-05	0.000200847	-0.000174976
ADAM28	0.000140055	-0.000150906	-0.000311094	0.001482631
ADAMTS1	-0.00017626	-0.000185091	-0.000298558	0.001662325
ADAMTS6	-0.000139411	4.14E-05	0.000180945	-3.92E-05
ADCY3	0.001086727	0.001196028	-0.000342252	0.00105806
ADCY6	5.80E-05	-3.27E-05	-2.42E-05	0.000162352
ADD2	-0.0002162	-7.63E-05	0.000263719	-9.97E-05
ADGRA2	-0.000152084	0.000196647	-2.37E-05	0.000370749
ADGRA3	-0.000107872	0.000333849	1.34E-05	0.000195684
ADGRF1	0.000458972	-8.43E-05	-4.40E-05	1.10E-05
ADGRG1	-0.000385923	0.00040456	-0.000416563	0.002468884
ADGRG3	-0.000171749	-9.88E-05	-0.000558299	0.002750685
ADGRL4	-2.99E-05	-3.78E-06	2.33E-05	-1.51E-05
ADM	0.000401779	-0.000104254	-3.67E-05	0.000333071
ADRB1	-2.11E-05	-6.62E-05	-0.000199129	0.001083308
ADTRP	0.000284221	-0.000124152	0.000172433	-0.000298214
AF129408.1	0.00033399	-6.82E-05	1.68E-05	-1.63E-05
AFAP1	-0.000270354	7.76E-05	0.00040601	-0.000205157
AFAP1L2	3.79E-05	-0.000108122	-0.00042729	0.002215036
AFDN	0.000231885	4.55E-05	0.000136663	-4.39E-05
AFF2	-6.08E-05	0.00020488	3.50E-05	0.000138223
AGO1	0.000503526	0.000265669	0.000121494	0.000447208
AGO3	-7.62E-05	0.000251361	0.000270345	9.65E-05
AGPAT4	0.000216853	2.96E-05	2.10E-05	0.000607067
AGPAT5	0.000188174	0.000748593	7.01E-06	0.000427079
AGT	5.68E-05	-2.06E-05	-5.18E-05	0.000206746
AHI1	9.36E-05	0.000409197	3.45E-05	0.000451675
AHNAK	-0.000396119	0.000246134	0.001097487	-0.000472737
AHR	0.00081804	0.000387074	0.000234308	-0.000138551
AJ009632.2	0.000229684	-1.72E-05	-4.78E-05	-1.01E-05
AK4	-3.81E-07	0.000242208	4.86E-05	0.000438796
AK5	-0.000322233	9.71E-05	3.43E-05	0.00081655
AKAP12	5.81E-05	1.71E-05	-2.47E-05	0.000260427
AKAP5	0.001692679	-0.000106453	-0.000734917	0.002082173
AKAP6	-9.14E-05	-4.38E-05	0.00014187	5.13E-05
AKAP9	0.000135986	0.000324656	0.000458509	0.000406826
AKR1C3	0.000243809	0.000293043	-0.000225785	0.001044482
