	Cycling	Treg	Naïve/Memory	Effector
ISG15	0.0005068090790226	0.0014888284729902	0.0006992130561391	0.0005086410478535
TNFRSF18	0.0	0.0041354918395093	0.0	0.0011189349968336
TNFRSF4	0.0	0.0038800715765635	0.0	0.0
MEGF6	5.7612814720493974e-05	7.296063875195425e-05	0.0012093872284571	0.0
TP73	0.0013550826190945	0.000773907289847	0.0	0.0
TNFRSF9	0.0001037554166602	0.0035756248498972	0.0	0.0002301298150878
ERRFI1	5.557272696397757e-06	0.0003631869692405	0.0006995961764096	0.0002420164200574
ENO1	0.0032633215881505	0.0025619777312628	0.0013881482965402	0.0011206753270387
CA6	0.0	0.0	0.0002752668514806	0.0
SLC2A5	7.406318722544351e-06	0.0004033306134737	0.0001086489020345	0.0002900092585973
GPR157	3.2354187181791194e-05	0.000145192941516	0.0003440442907288	9.624190211431058e-05
KIF1B	0.000175604571018	0.0008212775852176	0.000829358908664	0.0003636559006858
FBXO2	0.0	0.000662671042626	0.0003074834070745	0.0006697956175552
DRAXIN	0.0	0.0007054472568413	0.0	0.0009359701530349
TNFRSF8	2.1893452374185463e-05	0.0028495588250792	0.0	0.0
TNFRSF1B	0.0002763065971851	0.0051924852182053	0.000826899735994	0.0010328428816242
VPS13D	0.000362313993787	0.0005801409366281	0.0014463264693295	0.000402062820291
TMEM51	0.0	0.0002767650374332	5.1337830879565704e-05	0.0002063369129144
EFHD2	0.0010289300509832	0.0022853816018181	0.0005131869285954	0.0019857967460957
UBXN10	0.0	0.0001102373982267	0.0001074039677108	0.0001154211870377
EIF4G3	0.0002814575670416	0.0014939027400591	0.0009544098113009	0.001093813602688
ZBTB40	0.0	0.0003649411452376	0.0012687528286674	0.0003742826846864
LUZP1	0.0003657919863334	0.0011630826767243	0.0010658035708601	0.0003463147616724
ZNF436-AS1	0.0001553044709195	0.0	0.0001314031462077	0.0002191370701085
ASAP3	0.0	5.946569291688465e-05	0.0001946393540843	0.0
E2F2	0.0043802695024302	0.0	0.0	0.0
ID3	1.5214516328570813e-05	0.0008177442532789	0.0002371590812056	0.0004443485578482
STMN1	0.0068241070640953	0.0	0.0	0.0003936790314366
ZNF683	0.0003900399671711	0.0001002145020122	0.000231510205864	0.001953365469091
FGR	0.0003417468382268	0.0	0.0	0.003034521461426
IFI6	0.0004775870966129	0.0019989148981982	0.0006230562231814	0.0003694416577332
CLSPN	0.0053418676236328	0.0	0.0	0.0002362141189367
AGO1	0.0003070850349962	0.0008430259540147	0.0008391105777683	0.0007033693423777
AGO3	0.0002917860736993	0.0002553470344246	0.0009711299994378	0.0003466782301182
SH3D21	0.0	0.0003450538787348	0.0001817115551392	0.0001210184488039
CSF3R	0.0	0.0003814790647067	0.0001616981341797	5.362308878371943e-05
CDCA8	0.0028572193109869	0.0	0.0	0.0
HPCAL4	0.0	0.0	0.000528677906582	0.0
CTPS1	0.0016622035841172	0.0002349351812171	0.0006312822678271	0.000456371550498
TIE1	0.0001142135484225	0.0	0.0	0.0012806108361562
CDC20	0.0007360155779303	6.126641231999909e-05	8.631642463230922e-05	0.0001031520672229
NASP	0.0033328353969324	0.0006099236135389	0.0010574780568307	0.000839432273591
PIK3R3	0.0	0.0018298891800314	4.9426370220650934e-05	0.0003535027804204
STIL	0.0032475843714022	0.0002301536987137	0.0	0.0
SPATA6	9.160327737070791e-05	0.0	0.0002307755828976	0.0001354768227558
ELAVL4	9.935939646709885e-06	6.74000887628384e-05	0.0001242939963468	0.0
ZFYVE9	1.8941526747892724e-05	0.0	0.0004615822457535	0.0
ORC1	0.003468320808031	0.0	0.0	0.0001461785437509
SLC1A7	0.0	0.0	0.0	0.0010429316454762
AL606760.3	0.0002807627011997	9.792771078376976e-05	4.1660254235961335e-05	8.075180292861907e-05
TCEANC2	8.117457212592208e-05	0.0003005287114046	0.0005486331934363	0.0002902916809342
CYB5RL	0.0002190483389072	0.0002508890896545	0.0002508520648947	8.920890107543588e-05
PARS2	2.922906568198925e-05	0.0001764521866624	8.290038049209335e-05	3.7938413844322663e-05
DHCR24	0.0016206053984188	0.0001886247568473	7.308856035552088e-05	0.000690461808736
JUN	9.015627364285976e-05	0.0	0.0023361300763658	2.916675312973745e-05
HOOK1	0.0004607047156618	0.0	0.000722576950359	0.0
NFIA	2.7065953827865303e-05	0.0	0.0007620512538597	4.132024430410694e-05
PATJ	0.0001065415347285	0.0	0.0014713802029928	0.0002035431160873
USP1	0.0033928616883548	0.0002108858697632	0.0009701224264495	0.0004758303104972
ROR1	0.0	6.278077101740612e-05	7.473071457697096e-05	6.893056949759209e-05
AK4	0.0002537591272573	9.441923839588736e-05	0.0002490195376517	0.000510328918186
LEPR	5.1624039082234194e-06	0.0004042926866934	0.0002322908199327	0.0002003908812958
IL12RB2	0.0004070811410699	0.0014462679763237	9.86391458200906e-05	0.0007429314715502
GADD45A	0.0	0.002457064759632	0.0009483259197205	0.0001319791535404
WLS	6.454549977186956e-05	0.0003766624741535	6.319522366040456e-05	0.0001294369963378
DEPDC1	0.0005081055017737	3.5142763671173285e-05	5.17065865908115e-05	0.0002981745333295
NEGR1	0.0	0.0	4.081306467620645e-05	0.0006436284696984
LRRIQ3	5.634615494812845e-05	0.0001577777103867	0.0001765555001786	0.0001087636057679
ERICH3	0.0	0.0001789240242025	4.78264797024821e-06	0.0005511490393876
AK5	9.313041124917782e-05	0.0	0.0003124720330074	0.0009171616998731
DNAJB4	6.929316984281749e-05	0.0007430230609564	0.0005163655721678	0.0002332997584097
IFI44L	5.936716541879769e-05	0.000525682612217	0.0011484622104319	0.0001668360113344
IFI44	0.0003463805557802	0.0011233487467914	0.0012579674414059	9.861945206140084e-05
ADGRL4	1.1610219865183589e-06	1.057016000740666e-05	0.0001089366870476	1.5493202834405344e-05
SSX2IP	0.000662278746532	8.896844950094043e-06	0.0005092403129369	0.0003543489079435
WDR63	0.0003351185311595	0.0	0.0001717918771517	1.2111693816207093e-05
LMO4	0.0001544038266149	0.0001643755585499	0.0005970966785077	0.0017046825501559
GBP1	0.0013374165669231	0.0017378865281504	0.0010141912493219	0.0002185091562951
